Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Oldsmobile   ,Silhouette       ,24.361,15.24,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,25-Jun-15
Plymouth     ,Neon             ,32.734,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,26-Apr-15
Plymouth     ,Breeze           ,5.24,9.8,Passenger,16.08,2,132,108,71,186.3,2.942,,27,14-Nov-15
Plymouth     ,Voyager          ,24.155,12.025,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,24-Apr-15
Plymouth     ,Prowler          ,1.872,,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,27-Jun-14
,Sunfire          ,51.645,13.79,Passenger,21.61,2.4,150,104.1,68.4,181.9,,15,27,25-Jan-14
Pontiac      ,Grand Am         ,131.097,10.29,Passenger,,3.4,175,107,70.4,186.3,3.091,15.2,25,26-Nov-14
Pontiac      ,Firebird         ,19.911,17.805,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,,16-Jun-14
Pontiac      ,Grand Prix       ,92.364,14.01,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,15-Oct-14
Pontiac      ,Bonneville       ,35.945,13.225,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,18-May-15
Pontiac      ,,39.572,,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,22-Jul-14
Porsche      ,Boxter           ,8.982,41.25,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,19-Feb-14
Porsche      ,Carrera Coupe    ,1.28,60.625,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,21-Dec-14
Porsche      ,Carrera Cabriolet,1.866,67.55,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,07-Nov-15
Saab         ,05-Sep,9.191,,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-Sep-14
Saab         ,03-Sep,12.115,,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,06-Dec-15
Saturn       ,SL               ,80.62,9.2,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,16-Aug-14
Saturn       ,SC               ,24.546,10.59,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,16-Mar-15
Saturn       ,SW               ,5.223,10.79,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,15-Jan-15
Saturn       ,LW               ,8.472,,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,08-May-15
Saturn       ,LS               ,49.989,,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12-Apr-14
Subaru       ,Outback          ,47.107,,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,07-Jul-15
Subaru       ,Forester         ,33.028,,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,09-Oct-14
Toyota       ,Corolla          ,142.535,10.025,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,04-Nov-15
Toyota       ,Camry            ,247.994,13.245,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,02-Oct-15
Toyota       ,Avalon           ,63.849,18.14,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,31-Aug-15
Toyota       ,Celica           ,33.269,15.445,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,29-Dec-14
Toyota       ,Tacoma           ,84.087,9.575,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,08-Jan-15
Toyota       ,,65.119,,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,10-May-14
Toyota       ,RAV4             ,25.106,13.325,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,05-Jun-15
Toyota       ,4Runner          ,68.411,19.425,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,03-Jul-15
Toyota       ,Land Cruiser     ,9.835,34.08,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,25-Sep-15
,Golf             ,9.761,11.425,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,24-Jan-15
Volkswagen   ,Jetta            ,83.721,13.24,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,27-Aug-15
Volkswagen   ,Passat           ,51.102,16.725,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,30-Oct-14
Volkswagen   ,Cabrio           ,9.569,16.575,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,31-May-15
Volkswagen   ,GTI              ,5.596,13.76,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,04-Jan-15
Volkswagen   ,Beetle           ,49.463,,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,20-Oct-15
Volvo        ,S40              ,16.957,,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,18-Feb-15
Volvo        ,V40              ,3.545,,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,21-Sep-15
Volvo        ,S70              ,15.245,,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,24-Nov-14
Volvo        ,V70              ,17.531,,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,25-Jun-15
Volvo        ,C70              ,3.493,,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,26-Apr-15
Volvo        ,S80              ,18.969,,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,14-Nov-15
